timestamp,phase,bus_voltage_v,shunt_voltage_mv,current_a,power_w
2026-07-16 14:14:03,before_power_on,4.156,-143.5,-1.435,5.96
2026-07-16 14:14:08,after_power_on,4.156,-143.82,-1.4437,6.0
2026-07-16 14:14:09,after_sensor_read,4.152,-144.3,-1.443,5.99
2026-07-16 14:14:09,before_power_off,4.156,-144.08,-1.4368,5.968
2026-07-16 14:14:10,after_power_off,4.152,-143.8,-1.438,5.976
2026-07-16 14:18:09,before_power_on,4.156,-140.73,-1.4073,5.85
2026-07-16 14:18:14,after_power_on,4.16,-141.05,-1.4111,5.868
2026-07-16 14:18:14,after_sensor_read,4.156,-140.71,-1.4081,5.852
2026-07-16 14:18:14,before_power_off,4.152,-140.83,-1.4083,5.852
2026-07-16 14:18:15,after_power_off,4.152,-141.2,-1.412,5.876
2026-07-17 22:07:07,before_power_on,4.188,-44.42,-0.4442,1.864
2026-07-17 22:07:12,after_power_on,4.192,-44.29,-0.4358,1.828
2026-07-17 22:07:13,after_sensor_read,4.188,-44.54,-0.4427,1.854
2026-07-17 22:07:13,before_power_off,4.196,-43.86,-0.4386,1.842
2026-07-17 22:07:14,after_power_off,4.192,-44.6,-0.446,1.872
2026-07-19 06:02:29,before_power_on,3.624,69.87,0.7023,2.546
2026-07-19 06:02:34,after_power_on,3.64,66.76,0.6676,2.378
2026-07-19 06:02:43,before_power_off,3.64,65.34,0.6573,2.392
2026-07-19 06:02:44,after_power_off,3.64,65.41,0.6541,2.382
2026-07-21 13:03:58,before_power_on,4.024,-136.65,-1.3665,5.488
2026-07-21 13:04:03,after_power_on,4.012,-136.76,-1.365,5.472
2026-07-21 13:04:04,after_sensor_read,4.0,-133.58,-1.3346,5.328
2026-07-21 13:04:04,before_power_off,4.0,-133.56,-1.3356,5.322
2026-07-21 13:04:05,after_power_off,4.004,-134.78,-1.3425,5.37
2026-07-21 18:02:06,before_power_on,3.872,37.3,0.373,1.442
2026-07-21 18:02:11,after_power_on,4.176,-54.56,-0.5465,2.278
2026-07-21 18:02:12,after_sensor_read,4.172,-54.63,-0.5461,2.278
2026-07-21 18:02:12,before_power_off,4.168,-54.39,-0.547,2.28
2026-07-21 18:02:13,after_power_off,4.172,-54.02,-0.5442,2.27
2026-07-22 06:02:05,before_power_on,4.176,-41.06,-0.4106,1.718
2026-07-22 06:02:10,after_power_on,4.176,-40.51,-0.4051,1.69
2026-07-22 06:02:11,after_sensor_read,4.176,-40.42,-0.4075,1.7
2026-07-22 06:02:11,before_power_off,4.176,-40.38,-0.4038,1.688
2026-07-22 06:02:12,after_power_off,4.18,-40.54,-0.4054,1.694
2026-07-22 10:02:06,before_power_on,4.18,-40.5,-0.4118,1.72
2026-07-22 10:02:11,after_power_on,4.176,-40.89,-0.4093,1.71
2026-07-22 10:02:12,after_sensor_read,4.18,-40.96,-0.4008,1.674
2026-07-22 10:02:12,before_power_off,4.18,-41.08,-0.4108,1.718
2026-07-22 10:02:13,after_power_off,4.18,-40.75,-0.4075,1.7
2026-07-22 14:02:06,before_power_on,4.172,-41.11,-0.4111,1.718
2026-07-22 14:02:11,after_power_on,4.176,-40.51,-0.4105,1.718
2026-07-22 14:02:12,after_sensor_read,4.18,-40.43,-0.4081,1.704
2026-07-22 14:02:12,before_power_off,4.18,-40.8,-0.408,1.704
2026-07-22 14:02:13,after_power_off,4.176,-40.15,-0.4158,1.736
2026-07-23 06:02:09,before_power_on,3.884,36.58,0.3658,1.416
2026-07-23 06:02:15,after_power_on,3.9,29.91,0.3233,1.258
2026-07-23 06:02:15,after_sensor_read,3.896,32.96,0.3279,1.272
2026-07-23 06:02:15,before_power_off,3.884,33.19,0.3319,1.288
2026-07-23 06:02:16,after_power_off,3.896,31.56,0.3164,1.228
2026-07-23 10:02:18,before_power_on,3.872,33.44,0.3652,1.41
2026-07-23 10:02:23,after_power_on,3.884,29.95,0.3229,1.252
2026-07-23 10:02:24,after_sensor_read,3.884,36.79,0.3679,1.422
2026-07-23 10:02:24,before_power_off,3.884,30.72,0.3322,1.284
2026-07-23 10:02:25,after_power_off,3.888,31.68,0.3165,1.226
2026-07-23 14:02:29,before_power_on,3.844,38.78,0.3878,1.49
2026-07-23 14:02:35,after_power_on,3.868,32.43,0.3243,1.252
2026-07-23 14:02:35,after_sensor_read,3.864,33.29,0.3329,1.282
